"Add Account","Agregar cuenta"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Spain","España"
"<p>You are about to delete your TikTok Shop seller account from M2E TikTok Shop Connect. This will remove the account-related Listings and Products from the extension and disconnect the synchronization. Your listings on the channel will <b>not</b> be affected.</p><p>Please confirm if you would like to delete the account.</p><p>Note: once the account is no longer connected to your M2E TikTok Shop Connect, please remember to delete it from <a href=""%url"">M2E Accounts</a></p>","<p>Estás a punto de eliminar tu cuenta de vendedor de TikTok Shop de M2E TikTok Shop Connect. Esto eliminará los Listados y Productos relacionados con la cuenta de la extensión y desconectará la sincronización. Tus listados en el canal <b>no</b> se verán afectados.</p><p>Por favor, confirma si deseas eliminar la cuenta.</p><p>Nota: una vez que la cuenta ya no esté conectada a tu M2E TikTok Shop Connect, recuerda eliminarla de <a href=""%url""> M2E Cuentas</a></p>"
"Creation Date","Fecha creación"
"Update Date","Fecha de actualización"
"Actions","Acciones"
"Account","Cuenta"
"disabled","deshabilitado"
"Title","Título"
"Details","Detalles"
"Check","Verificar"
"ID","ID"
"Run","Ausführen"
"Overview","Resumen"
"Inspection","Inspección"
"Database","Base de datos"
"Module Tools","Herramientas de Módulo"
"Cron","Cron"
"Debug","Depurar"
"Table Name","Nombre de la tabla"
"Records","Récords"
"Size (Mb)","Tamaño (Mb)"
"Back","Volver"
"Additional Actions","Más Acciones"
"Flush Cache","Escondrijo de Rubor"
"Append Row","Añadir línea"
"Total Run Time","Tiempo de funcionamiento total"
"Delete","Eliminar"
"Update","Actualización"
"Magento","Magento"
"Integration","Integración"
"Are you sure?","¿Seguro?"
"Confirmation","Confirmación"
"Help","Ayuda"
"Hide Block","Ocultar bloque"
"Show Tips","Mostrar sugerencias"
"Hide Tips","Ocultar Consejos"
"Info","Información"
"Warning","Advertencia"
"Error","Error"
"Close","Cerrar"
"Success","Éxito"
"None","Ninguno"
"Add","Agregar"
"Save","Salvar"
"Send","Enviar"
"Cancel","Cancelar"
"Reset","Restablecer"
"Confirm","Confirmar"
"Submit","Enviar"
"In Progress","En curso"
"Product(s)","Producto(s)"
"Continue","Continuar"
"Complete","Completo"
"Yes","Sí"
"No","No"
"Collapse","Colapsar"
"Expand","Expandir"
"Reset Auto Rules","Restablecer reglas automáticas"
"Please select the Products you want to perform the Action on.","Por favor, seleccione los productos en los que desea realizar la acción."
"Please select Items.","Seleccione los artículos."
"Please select Action.","Por favor, seleccione acción."
"View Full Product Log","Ver el registro completo del producto"
"This is a required field.","Este es un campo obligatorio."
"Please enter valid UPC","Por favor, introduzca UPC válido"
"Please enter valid EAN","Por favor, introduzca EAN válido"
"Please enter valid ISBN","Por favor, introduzca ISBN válido"
"Invalid input data. Decimal value required. Example 12.05","Datos de entrada no válidos. Se requiere valor decimal. Ejemplo 12.05"
"Email is not valid.","Email no válido."
"You should select Attribute Set first.","Primero debe seleccionar Conjunto de Atributos."
"Create a New One...","Crear una nueva una..."
"Creation of New Magento Attribute","Creación de Nuevo Atributo de Magento"
"You should select Store View","Debe seleccionar Vista de Tienda"
"Insert Magento Attribute in %s%","Insertar Atributo Magento en %s%"
"Attribute","Atributo"
"Insert","Insertar"
"Settings have been saved.","Ajustes guardado."
"You must select at least one Site you will work with.","Debe seleccionar al menos un Sitio con el que trabajará."
"Preparing to start. Please wait ...","Preparando empezar. Por favor espere..."
"Unauthorized! Please login again","¡Sin autorización! Por favor vuelva a iniciar sesión"
"Reset Unmanaged Listings","Restablecer listas no gestionadas"
"This Tool allows you to quickly <strong>Create</strong> a new <strong>Magento Attribute</strong> for the selected Option. In order to Create an Attribute, you have to fill in the Attribute Label, Attribute Code, Catalog Input Type, Scope, Default Value and Attribute Sets fields.<br/><br/><strong>Note:</strong> Some of the fields may not be available for selection. The availability depends on the Option for which the Attribute is being created.<br/><strong>Note:</strong> This Option does not imply automatic Product Attribute Value set up. After the Attribute becomes available in Magento, you should Manually provide the Value for the Product.","Esta herramienta te permite <strong>crear</strong> rápidamente un nuevo <strong>Atributo de Magento</strong> para la Opción seleccionada. Para crear un Atributo, debes completar los campos de Etiqueta del Atributo, Código del Atributo, Tipo de Entrada en el Catálogo, Alcance, Valor Predeterminado y Conjuntos de Atributos.<br/><br/><strong>Nota:</strong> Algunos campos pueden no estar disponibles para su selección. La disponibilidad depende de la Opción para la que se esté creando el Atributo.<br/><strong>Nota:</strong> Esta Opción no implica la configuración automática del Valor del Atributo del Producto. Después de que el Atributo esté disponible en Magento, deberás proporcionar manualmente el Valor para el Producto."
"Default Label","Etiqueta Predeterminada"
"Attribute Code","Código de atributo"
"Catalog Input Type","Catálogo Tipo de entrada"
"Scope","Ámbito"
"Store View","Ver Tienda"
"Website","Sitio Web"
"Global","Global"
"Default Value","Valor por defecto"
"Attribute Sets","Conjunto de atributos"
"Will be added to the all Attribute Sets.","Se añadirán a todos los conjuntos de atributos."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilice sólo letras (a-z), números (0-9) o guiones bajos (_) en este campo. El primer caracter debe ser una letra."
"Attribute with the same code already exists.","Ya existe un atributo con el mismo código."
"Attribute has been created.","Atributo ha sido creado."
"Please enter a valid date.","Por favor, ingresa una fecha válida."
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Price","Precio"
"Select","Seleccionar"
"Multiple Select","Elección múltiple"
"Date","Fecha"
"Yes/No","Sí/No"
"N/A","N/D"
"Linked","Vinculado"
"Any","Cualquier"
"Not Listed","No Listado"
"List","Lista"
"Relist","Relista"
"Revise","Revisar"
"Stop","Detener"
"Relink","Vuelva a vincular"
"Remove from Channel / Remove from Listing","Eliminar del canal / Eliminar de la lista"
"External Change","Cambio externo"
"Dashboard","Panel"
"Notification Settings","Ajustes de notificaciones"
"Version Info","Información de la versión"
"Current Version","Versión actual"
"[release notes]","[notas de lanzamiento]"
"Latest Version","Última versión"
"Cron Info","Cron Info"
"Type","Tipo"
"Last Run","Última carrera"
"not working","no funciona"
